phase angle (phi_L),L0,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
1.3803967720318786,0.225,0.040414511331510514,0.30609111479231743,0.1320342518237804,0.6072599834180188,0.07735987755982988
1.523196438104142,0.225,0.036869915086402624,0.31053326138774917,0.11873096917745242,0.6079077946984626,0.07735987755982988
1.6659961041764055,0.225,0.03362663269668565,0.3156778124811965,0.1065220023934645,0.6092658078564279,0.07735987755982988
1.8087957702486688,0.225,0.030753888896662543,0.32142089889071485,0.09568104937420097,0.6113033021203395,0.07735987755982988
1.951595436320932,0.225,0.028313267642566385,0.3276447156835589,0.0864145407732182,0.6139706180553599,0.07735987755982988
2.0943951023931953,0.225,0.0263571852221343,0.3342193407976982,0.07886193886693173,0.6172030028241591,0.07735987755982988
0.5235987755982988,0.45,0.08215314571087852,0.25757717844174516,0.3189457474760663,0.6000838911812392,0.07735987755982988
0.6663984416705622,0.45,0.0747316908706348,0.2555689904934731,0.29241298299272095,0.5932990454076307,0.07735987755982988
0.8091981077428254,0.45,0.06695177426550815,0.2554859117319505,0.26205661913660544,0.5875722776145017,0.07735987755982988
0.9519977738150888,0.45,0.0589643767048459,0.2573513751187727,0.22912011516407357,0.5830789490945781,0.07735987755982988
1.0947974398873521,0.45,0.05092883840713014,0.26114641882649714,0.1950202443364414,0.5799597275947557,0.07735987755982988
1.2375971059596154,0.45,0.04301021914166692,0.2668090954840366,0.16120222237416285,0.5783170892435429,0.07735987755982988
1.3803967720318786,0.45,0.03537467394830277,0.2742362756879448,0.12899341584027285,0.5782093015319023,0.07735987755982988
1.523196438104142,0.45,0.028185590923971503,0.28328392054380164,0.09949590809766211,0.5796461383296316,0.07735987755982988
1.6659961041764055,0.45,0.021600016589279097,0.293769286655302,0.07352714381821594,0.5825878333524329,0.07735987755982988
1.8087957702486688,0.45,0.015764015088917036,0.3054757668719653,0.051604797494539854,0.5869493018189798,0.07735987755982988
1.951595436320932,0.45,0.010808363640673984,0.3181579652925344,0.03397168959996365,0.5926001640525624,0.07735987755982988
2.0943951023931953,0.45,0.006844889127851632,0.331547328703141,0.02064528510793815,0.5993814916829848,0.07735987755982988
0.5235987755982988,0.675,0.10510362189993844,0.22005521859231403,0.4776238553772223,0.5854091164360918,0.07735987755982988
0.6663984416705622,0.675,0.09382329349375516,0.21707159190480263,0.4322228103201161,0.5748170161064691,0.07735987755982988
0.8091981077428254,0.675,0.08196529998150211,0.21704501237963206,0.3776419420232386,0.565790430905458,0.07735987755982988
