phase angle (phi_L),pivot loc. alpha0,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
1.2566370614359172,1.0,0.1654152185404192,0.3361025345104106,0.4921570103045312,0.6349874945061699,0.11603981633974482
1.6755160819145563,1.0,0.12013452293726092,0.38275290575938276,0.3138696561921946,0.6313580715413556,0.11603981633974482
2.0943951023931953,1.0,0.08201634090022254,0.46641816593660246,0.17584293856892905,0.6478118753635432,0.11603981633974482
2.5132741228718345,1.0,0.05899803367788713,0.5720606435972377,0.10313248138675486,0.6803434806187758,0.11603981633974482
2.9321531433504733,1.0,0.05598464855462761,0.6794352706143008,0.08239879643576638,0.7210461246366211,0.11603981633974482
3.3510321638291125,1.0,0.07350709538927243,0.7677645201742265,0.09574171957385018,0.7612838105882977,0.11603981633974482
3.7699111843077517,1.0,0.1075909887086404,0.8208865107965962,0.1310668250648108,0.7940451026900867,0.11603981633974482
4.1887902047863905,1.0,0.15108684001618294,0.83019889735391,0.1819887264337998,0.8147255122820043,0.11603981633974482
4.607669225265029,1.0,0.19554181101875004,0.7963312589835634,0.24555335334737388,0.8212948653999321,0.11603981633974482
5.026548245743669,1.0,0.2334286212573516,0.7273934138404158,0.320911100947312,0.8139530694662808,0.11603981633974482
5.445427266222308,1.0,0.25935692442487773,0.6360638906468602,0.4077529446941542,0.7942081591010329,0.11603981633974482
5.864306286700947,1.0,0.27035093162317475,0.5368683667307803,0.5035702387709234,0.7645697095829203,0.11603981633974482
6.283185307179586,1.0,0.26528798969420203,0.44429548139564373,0.5970981043085691,0.7284943958541813,0.11603981633974482
