phase angle (phi_L),reduced frequency f*,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
2.284794657156213,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
2.8559933214452666,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
3.4271919857343196,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
3.998390650023373,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
4.569589314312426,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
5.140787978601479,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
5.711986642890533,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
6.283185307179586,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
0.0,0.2,0.11152894479834989,0.27390359033839634,0.4071832160380248,0.6302905042365908,0.07735987755982988
0.5711986642890533,0.2,0.08440969676164731,0.24786769398929304,0.34054335764019933,0.5934170833328216,0.07735987755982988
1.1423973285781066,0.2,0.049290439710793776,0.254743064234023,0.1934908016396964,0.572606526921465,0.07735987755982988
1.7135959928671598,0.2,0.017152491939977626,0.2936050301120397,0.05842029318582258,0.5778526272297921,0.07735987755982988
2.284794657156213,0.2,-0.0011282312265020354,0.35229387311855354,-0.003202528663115195,0.6069443403470118,0.07735987755982988
2.8559933214452666,0.2,0.0008579087452257027,0.41134334620054613,0.0020856268933239002,0.6476370720470962,0.07735987755982988
3.4271919857343196,0.2,0.02234930459836691,0.4510623977735571,0.04954814391242325,0.6854816460443535,0.07735987755982988
3.998390650023373,0.2,0.05584688429840933,0.45879691378277665,0.1217246293963755,0.7096513791822407,0.07735987755982988
4.569589314312426,0.2,0.090238798724425,0.43305123831960574,0.20837903402512814,0.7146501048396908,0.07735987755982988
5.140787978601479,0.2,0.1148759938950993,0.3828578394260503,0.30004869187819727,0.7000680876824424,0.07735987755982988
5.711986642890533,0.2,0.12268572980411833,0.3239458603847584,0.3787229435758231,0.6694784526762478,0.07735987755982988
6.283185307179586,0.2,0.1115289447983496,0.27390359033839634,0.40718321603802377,0.6302905042365908,0.07735987755982988
0.0,0.4,0.4723468028812888,0.7309720635749405,0.6461899522824418,0.835573784104895,0.15471975511965977
0.5711986642890533,0.4,0.43722002789266085,0.529783901870139,0.8252799421599498,0.7741756228932605,0.15471975511965977
1.1423973285781066,0.4,0.3616715330627017,0.4414567704103549,0.8192682892291151,0.721217876857411,0.15471975511965977
1.7135959928671598,0.4,0.2650057800850829,0.5149088817344504,0.5146653893256247,0.7009243283962073,0.15471975511965977
2.284794657156213,0.4,0.18063148849929458,0.7396363377573375,0.24421662278923456,0.7272348018343734,0.15471975511965977
2.8559933214452666,0.4,0.1427057872569633,1.0415107401072656,0.13701806593205748,0.7902672055057346,0.15471975511965977
3.4271919857343196,0.4,0.16736202158555752,1.3068544605535748,0.1280647743396492,0.8607685884387137,0.15471975511965977
3.998390650023373,0.4,0.24245375374820827,1.439343608457027,0.1684474452963446,0.9127108691202308,0.15471975511965977
4.569589314312426,0.4,0.3355502779089099,1.4036494614520907,0.23905560976868076,0.9336294459033313,0.15471975511965977
5.140787978601479,0.4,0.415498419837279,1.231263419998268,0.3374569674439475,0.9240501788182429,0.15471975511965977
5.711986642890533,0.4,0.46395378901623996,0.984075334066664,0.47146165842706755,0.8887512201758234,0.15471975511965977
6.283185307179586,0.4,0.47234680288127745,0.7309720635749155,0.6461899522824484,0.8355737841048866,0.15471975511965977
0.0,0.6000000000000001,1.0458679659176104,1.7735523888888045,0.5897023242560571,1.0625350706612289,0.23207963267948967
0.5711986642890533,0.6000000000000001,1.010405770892658,1.219814142732169,0.8283276406596884,0.9886379493907563,0.23207963267948967
1.1423973285781066,0.6000000000000001,0.8920567734935355,0.8377764822613907,1.0647908987438122,0.90975743985377,0.23207963267948967
1.7135959928671598,0.6000000000000001,0.7156595745109097,0.8405958955037838,0.8513717213453706,0.8623064731028074,0.23207963267948967
2.284794657156213,0.6000000000000001,0.5339837380792574,1.372842825034978,0.38896203435790416,0.8777802185582432,0.23207963267948967
2.8559933214452666,0.6000000000000001,0.42001043090612583,2.292869253837637,0.1831811518267529,0.959887101518052,0.23207963267948967
3.4271919857343196,0.6000000000000001,0.4417114739535173,3.1397986838699756,0.14068146350360383,1.0618594543647983,0.23207963267948967
3.998390650023373,0.6000000000000001,0.5785859232257993,3.5923386740098335,0.16106107350395535,1.1402264521146281,0.23207963267948967
4.569589314312426,0.6000000000000001,0.7580476750873661,3.5420180755447097,0.21401575568492537,1.1748889377339444,0.23207963267948967
5.140787978601479,0.6000000000000001,0.9115880210096815,3.0668650978628706,0.297237730360203,1.1649366754871597,0.23207963267948967
5.711986642890533,0.6000000000000001,1.013999375699508,2.414332402288546,0.4199916195211305,1.123257254479358,0.23207963267948967
6.283185307179586,0.6000000000000001,1.04586796591639,1.7735523888867648,0.5897023242560472,1.0625350706609928,0.23207963267948967
0.0,0.8,1.8262245716114158,3.606566347677717,0.5063610081060422,1.2972518459515168,0.30943951023931954
0.5711986642890533,0.8,1.797867840793648,2.5354934182863706,0.7090800661627228,1.2160242757034736,0.30943951023931954
1.1423973285781066,0.8,1.6328381418429143,1.7227807203039227,0.947792207446377,1.124484155870573,0.30943951023931954
1.7135959928671598,0.8,1.39613495648466,1.2827413937208865,1.088399394701725,1.0480553541300273,0.30943951023931954
2.284794657156213,0.8,1.0891831907648477,2.094515759164732,0.5200167083962172,1.046249503070267,0.30943951023931954
2.8559933214452666,0.8,0.8485562202320427,4.300802859702089,0.19730181733808208,1.1447367772411028,0.30943951023931954
3.4271919857343196,0.8,0.8530888991896274,6.2390686246548,0.13673337328243088,1.2787014713889198,0.30943951023931954
3.998390650023373,0.8,1.0882123508294945,7.351296521293,0.14802999004019113,1.3930793548777716,0.30943951023931954
4.569589314312426,0.8,1.3777176660495831,7.205987854140045,0.1911906728038745,1.4347202159214512,0.30943951023931954
5.140787978601479,0.8,1.624964646916899,6.19661619011476,0.26223419315676627,1.4179569228032676,0.30943951023931954
5.711986642890533,0.8,1.768732947187372,4.886205246410088,0.3619849879386189,1.367846809635418,0.30943951023931954
6.283185307179586,0.8,1.8262245716113226,3.6065663476777092,0.5063610081060176,1.297251845951478,0.30943951023931954
0.0,0.2,0.19727196491533552,0.22412322304358492,0.8801942174326679,0.6405386634756991,0.07735987755982988
0.5711986642890533,0.2,0.14138864782151797,0.1714739868348963,0.8245486702169816,0.5651276364243666,0.07735987755982988
1.1423973285781066,0.2,0.0675116564161668,0.18607772772162076,0.3628142778977114,0.517960189952131,0.07735987755982988
1.7135959928671598,0.2,0.0017130474541713248,0.266104840530647,0.006437490767756384,0.5314658346881922,0.07735987755982988
2.284794657156213,0.2,-0.03362141508836123,0.387185341494789,-0.08683545445847858,0.5972949096193942,0.07735987755982988
2.8559933214452666,0.2,-0.0250704302948892,0.5070618333897284,-0.049442550482043546,0.6793952662516033,0.07735987755982988
3.4271919857343196,0.2,0.023740968787873074,0.5799757853060421,0.04093441379685433,0.747896859519105,0.07735987755982988
3.998390650023373,0.2,0.0932622002696482,0.5874368258444471,0.1587612423439452,0.7874582027734154,0.07735987755982988
4.569589314312426,0.2,0.1608650842854483,0.533845752885129,0.3013325167729913,0.7940477889724471,0.07735987755982988
